,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
140,Brendan+P.+Burns,@BrendanBurns_AS,Brendan Burns,"Chief Field Officer for Autism Speaks. We are the world’s leading science, research, and advocacy organization for people and families affected by autism.","Denver, CO",91,237,0.3318222492897521
141,Brendan+R.+Scott,@Brendan_Scott1,Brendan Scott,@NHMRC Emerging Leadership Fellow @MurdochUni | Sport Scientist (ASpS2) | Director @MASS_Laboratory | exercise with #BFR for health and performance,"Perth, Western Australia",752,367,3.783645753267561
142,Brendan+Stuart+Weekes,@luckylarelar,Brendan Weekes,"Global psychologist, researcher and bona fide troublemaker",London,12,33,0.0896644102289795
143,Brendan+T.+Keenan,@DoctorKeenan,Brendan Keenan,Director of Social Emotional Learning at the Wachusett Regional School District and Senior Lecturer at Northeastern University,"Worcester, MA",122,791,0.9488403232738507
144,Brendan+Barrett,@bjjbarrett,Brendan J Barrett,"evolutionary ecologist @livingingroups. social learning, cultural evolution, dispersal. field & stats & maths. cyclist & runner. doom metal aficionado. he/him.",Allemagne,713,674,4.70902755906722
145,Brendan+Collins,@collinsbrendan3,Brendan Collins,"UNCG baseball 
MD | NC",,58,53,0.2700974545407051
146,Brendan+Curti,@BrendanCurtiMD,Dr. Brendan Curti,"Franz Chair for Clinical Research, Melanoma & GU Oncologist, Earle A. Chiles Research Inst, Providence Cancer Inst. Tweets my own. #finishcancer","Portland, OR",287,29,1.3542114091811635
147,Brendan+Lawlor,@brendanlawlor,Brendan Lawlor,"Programming Professional, Bioinformatics Beginner, Meagre Meditator, Basic Bassist, Punning Parent, Alliterating Atheist.

Fesso per scelta.","Cork, Ireland/Cagliari, Italia",378,535,3.6699039727408045
148,Brendan+McCormack,@ProfBrendan,Brendan McCormack,"Nursing Prof and Head of Nursing, occupational therapy & arts therapies at Queen Margaret University Edinburgh. My views are my own",Edinburgh,7390,2055,17.786877182907894
149,Brendan+Payne,@viraldoc,Brendan Payne,HIV / ID / Virology doc and researcher. Opinions are my own. Some are well-informed.,"Newcastle-upon-Tyne, UK",102,98,0.3647867220405867
150,Brendan+Rooney,@brenrooney,brendan rooney,"Assistant Prof @UCDPsychology | Director @ME_LabTweets | 
~ social cognition ~ emotion ~ entertainment ~","Ballyfermot, Dublin",1938,1860,15.778815753193454
151,Brendon+P.+Scicluna,@brendonp77,brendon scicluna,"Dad and researcher interested in #immunobiology, #infection and #immunity. My words. My opinion.","Amsterdam, The Netherlands",94,211,0.3916242458324069
152,Brendon+P+Scicluna,@brendonp77,brendon scicluna,"Dad and researcher interested in #immunobiology, #infection and #immunity. My words. My opinion.","Amsterdam, The Netherlands",94,211,0.3506636530265857
153,Brenna+N+Renn,@DrBrennaRenn,Brenna Renn,clinical geropsychologist | health services researcher | assistant prof | academic mama | nature lover | Nevada transplant | she/her/hers (views my own),"Seattle, WA",66,200,0.4799892241459336
154,Breno+O.+Fragomeni,@brenofra,breno fragomeni,"Assistant Professor in Animal Genomics at the University of Connecticut. 
Sports fan.
Tweets are my own.","Storrs, CT",279,374,1.1677127971384347
155,Brent+A.+Bauer,@babmd,Brent Bauer,Dr. Bauer is board-certified in Internal Medicine & a Professor of Medicine. His work is at the forefront of Integrative Medicine. Tweets are his not employers.,Rochester MN,408,246,2.0584755369598873
156,Brent+A.+Orr,@BaoflexBrent,Brent Orr,Director of Anatomic Pathology and Neuropathology at St. Jude Children's Research Hospital.,,179,777,1.2227484760490823
157,Brent+A+Bauer,@babmd,Brent Bauer,Dr. Bauer is board-certified in Internal Medicine & a Professor of Medicine. His work is at the forefront of Integrative Medicine. Tweets are his not employers.,Rochester MN,408,246,2.465574940665309
158,Brent+C.+Christner,@DrXner,Brent Christner,Microbiologist @UF @UF_MCS,"Gainesville, FL",314,177,2.035511092695572
159,Brent+C.+Taylor,@DrBrentTaylor,Brent Taylor,"Pastor, Speaker, Author of Founding Leadership, Presidential Leadership, Adjunct Professor US History at DBU, PLS 2016, Avid Indoorsman, The other Beth Moore.","Carrollton, TX",996,354,3.9404598267749424
160,Brent+D+Wilson,@bwils,Brent Wilson,"Opera director and conductor, professor and endurance sport junkie, 5x Ironman IG: b1wils1","Santa Monica, CA",208,73,2.2991930531895792
161,Brent+E.+Ewers,@BrentEwers,Brent Ewers,Plant biologist and ecohydrologist who loves functional diversity. Director of U. of Wyoming Biodiversity Institute and NSF EPSCOR.,"Laramie, WY",274,235,2.087443230668436
162,Brent+K.+Hollenbeck,@hollenbeck1971,Brent Hollenbeck,Dr. Hollenbeck is a urologic oncologist and health services researcher at the University of Michigan.,,2300,698,23.9829134922425
163,Brent+L.+Wood,@TheFoodTruckCEO,Brent,Love My Ginger Wife ➖ RN & Corporate Drone Turned Food Truck Owner ➖ Mobile Wood-Fired Pizza ➖ Small Business Owner ➖ PhD in Pizza (allegedly)➖Pizza/Pizzas,Ohio/Behind a Wood-Fire Oven,4431,188,15.043699732404992
164,Brent+N.+Kaiser,@kaiser_brent,Brent N. Kaiser,Professor of Legume Biology | University of Sydney | Teaching & Research Academic | Director - ARC ITRH Legumes for Sustainable Agriculture,"Camden, Sydney",405,372,2.674833325977874
165,Brent+P.+Forester,@BrentForester,Brent Forester,"Chief #Geriatric #Psychiatry, @McLeanHospital; Assoc Prof, Harvard; #PopHealth Medical Dir, #BehavioralHealth Integration, Evaluation & Research, @PartnersNews","Boston, MA",403,1105,2.4472868446349407
166,Brent+P.+Goodman,@bpgoodmanmd,Brent Goodman,Neurologist Mayo Clinic,,7,6,0.061023901357194314
167,Brent+R.+Stockwell,@bstockwell,Brent Stockwell,"Professor of #biology #chemistry @Columbia University, researcher, teacher, author of The Quest for the Cure #science","New York City, NY, USA",4920,2431,10.006077739933346
168,Brent+R+Patterson,@brentpatterson,Brent Patterson,"SUNY Art & Design Professor, free/libre open source advocate, working-class academic from WV, #blender3d addict, father of a cancer fighter.","Buffalo, New York",2982,2742,18.3846091822325
169,Brent+Johnston,@brentwjohnston,Brent Johnston,"C-Suite Executive who leverages Strategic Planning, Operations and Leadership to drive profits and reduce costs.","Phoenix, AZ",81,98,0.35698147305285943
170,Brent+Neumann,@NeumannLab,Brent Neumann ~ 🔬 ~,"Head of nerve repair lab. Father of 2 boys. Strong supporter of equality for all, lover of the natural world, big AFL/F1/NBA/Cricket fan","Melbourne, Victoria",885,868,5.008874707086322
171,Brenton+R.+Graveley,@graveley,Brenton Graveley,"scientist, husband, father, potter, Great Dane addict. This account is personal opinions. My professional/scientific account is @Graveleylab #istandwithfauci","Hartford, CT",1173,1267,4.3298603211254125
172,Brenton+R+Graveley,@graveley,Brenton Graveley,"scientist, husband, father, potter, Great Dane addict. This account is personal opinions. My professional/scientific account is @Graveleylab #istandwithfauci","Hartford, CT",1173,1267,3.969794986547204
173,Brenton+Hordacre,@BrentonHordacre,Brenton Hordacre,"NHMRC Research Fellow, Physiotherapist, interested in understanding the brain to optimise recovery in neurological rehabilitation","Adelaide, South Australia",344,238,2.1910403601613124
174,Bret+J.+Pearson,@SheckyFeinblatt,Bret Pearson,"Senior Scientist - Hospital for Sick Children
Associate Professor - University of Toronto",Toronto,506,294,2.596671200478931
175,Brett+A.+McKinney,@BrettA_McKinney,Brett McKinney,"Professor of Mathematics and Computer Science, University of Tulsa. Theoretical Physicist and Bioinformaticist.","Owasso, OK",34,0,0.2025626227968612
176,Brett+A+McKinney,@BrettA_McKinney,Brett McKinney,"Professor of Mathematics and Computer Science, University of Tulsa. Theoretical Physicist and Bioinformaticist.","Owasso, OK",34,0,0.1670599881450254
177,Brett+D.+Nelson,@Dpez_Poopsie,Brett Nelson,Aspiring professional candle quality assurance analyst,Rockford ,97,97,0.5252539104708275
178,Brett+D+Nelson,@Dpez_Poopsie,Brett Nelson,Aspiring professional candle quality assurance analyst,Rockford ,97,97,0.5182232372453306
179,Brett+J.+Baker,@archaeal,Brett Baker,Marine microbiologist - studying the ecology and evolution of new branches on the tree of life. Asst. Professor @UTAustin @UTMSI @texas_IB Stay metal.,"Port Aransas, TX",4575,2556,20.34857958360103
180,Brett+J+Baker,@archaeal,Brett Baker,Marine microbiologist - studying the ecology and evolution of new branches on the tree of life. Asst. Professor @UTAustin @UTMSI @texas_IB Stay metal.,"Port Aransas, TX",4575,2556,13.070117293225728
181,Brett+M.+Collins,@brettcollins100,Brett Collins,"Structural biologist studying proteins that move things from A to B.
He/Him.","Brisbane, Queensland",1486,1499,5.473878721903477
182,Brett+P+Murphy,@brettpmurphy,Brett Murphy,"Researching tropical savannas, fire ecology, and what's driving the decline of northern Australia's mammals @CDUni @RIELresearch @TSR_Hub","Darwin, Northern Territory",2453,2534,16.52488087112729
183,Brett+W.+Carter,@brett_l_carter,Brett Carter,"Assistant Professor, University of Southern California. Politics + economics in autocracies. Good politicians = constrained politicians","Los Angeles, CA",8044,641,40.03988736147714
184,Brett+Martin,@brett1211,Brett Martin,"Now: VC @ChargeVC, Co-founder @Kumospace, Prof @Columbia_Biz. Then: @PrimaryVC @SwitchApp, @Sonar, @FulbrightPrgrm, @Dartmouth. Always: Keeping it real.","New York, NY",4225,2517,19.23182163470489
185,Brett+Nixon,@BrettNixon13,Brett Nixon,"NHMRC Senior Research Fellow,
Co-Director Priority Research Centre for Reproductive Science",The University of Newcastle,657,290,2.8353697122933217
186,Brett+Smith,@BrettSmithProf,Brett Smith,"Professor, Disability & Physical Activity / President https://t.co/nmxHeUefb2 / Director of Research @DUSportExSci / CMOs' PA Expert Communication Committee core member",,4012,57,24.014313500217696
187,Brett+Vaughan,@BrettVaughan4,Brett Vaughan,Osteopath. Lecturer in Clinical Education at Melbourne University @excite_UOM. PhD student. Associate Fellow @ANZAHPE. Views are my own.,"Melbourne, Australia",469,501,2.9377328704882486
188,Brett+Whitaker,@blwhitaker,Brett Whitaker,"Educator, PhD student, and reluctant scholar.  Trying to make this world just a little bit better than I found it.  All tweets are my own opinion.","Hays, KS",95,262,0.30385099070353055
189,Brian+A.+Cobb,@Cobbohydrates,Brian Cobb,Professor at Case Western Reserve University School of Medicine who thinks the glycome is the greatest untapped resource for promoting human health.,"Cleveland, Ohio",431,367,1.7347929872414773
190,Brian+A.+Gordon,@BrianGordon81,Brian Gordon,"Assistant Professor @WUSTL | @WUADRC | Alzheimer Disease, cognitive aging, and neuroimaging","Saint Louis, Missouri",304,475,1.2042666574801941
191,Brian+A.+Van+Tine,@bvantine1,Brian Van Tine,"Washington University in St. Louis Sarcoma Doctor, tumor metabolism researcher and Phase 1 Co-Director","St Louis, MO",1361,1476,5.191297216186651
192,Brian+A.+Walker,@BWalker1963,Brian Walker,Pro Vice Chancellor Research Strategy and Resources at Newcastle University. Clinician scientist and steroid specialist. All views my own.,Royaume-Uni,793,373,3.318982968210676
193,Brian+B.+Oakley,@brianoakley,Brian Oakley,"SAAS product analyst | PhD in vision neurosci | XR-obsessed | big data freak, seven days a week 📊💦 | 🏳️‍🌈🇦🇺🇵🇭 | #firstgen","29 | He/Him | Melbourne, VIC",188,207,1.0111099850602934
194,Brian+C.+Baumann,@BrianBaumannMD,Brian C. Baumann,"Chief of Genitourinary Radiation Oncology
Assistant Professor, Washington University in St. Louis
Adjunct Assistant Professor, University of Pennsylvania",,196,78,1.141863063182734
195,Brian+C.+Clark,@bclarkstrength,Brian Clark,Sport Scientist/ Account Manager for STATSports.,"Chicago, IL",667,976,2.4962891692919382
196,Brian+D.+Green,@BrianGreenGolf,Brian Green,"I am a PGA Golf Professional, coaching full time at Dukes Meadows Golf & Tennis in Chiswick, London.
When I'm not there you can find me fishing.","London, UK",743,480,3.298573490703475
197,Brian+D.+Hudson,@brianghudson,Brian Hudson,"Professor of Education; Emeritus Prof, University of Sussex/Guest Prof, Karlstad University, Sweden. All views expressed are my own.",,741,735,2.3469090908748997
198,Brian+D.+Kent,@reddup,Brian Kent,"Data scientist in the wild. Writing about ML, experimentation, survival analysis, etc for @CrosstabKite. Previously DS at Turi, Apple, Skip, Credit Sesame.","Austin, TX",104,138,0.7770915553178224
199,Brian+D.+Marsden,@nedsram2000,Brian Marsden,"Retired lecturer, singer and NT volunteer ranger",Poynton,87,534,0.2678523190345667
200,Brian+D.+Robinson,@BriRobinsonPhD,Brian Robinson,"Father, Assistant Professor of Philosophy
he/him","Corpus Christi, TX",168,295,0.7693668975443273
201,Brian+D.+Strahl,@DrBrianStrahl,Dr. Brian D. Strahl,Dr. Brian D. Strahl is a cancer researcher at UNC Chapel Hill studying how epigenetics contributes to human biology and disease.  https://t.co/XCVgNWdRJt,"UNC Chapel Hill, NC",335,270,1.4384690348345495
202,Brian+D+Nicholson,@BrianDNicholson,Brian D Nicholson 🇪🇺,GP @NIHRresearch Clinical Lecturer @OxPrimaryCare @CRUKResearch GP Facilitator @macmillancancer Affiliate @KPWaResearch  #primarycare #diagnosis #cancer,"Oxford, England",547,1386,2.437477832117679
203,Brian+E.+Dixon,@dpugrad01,Brian E. Dixon,"Professor, Researcher, and Author in Health Informatics. Focus on intersection of Public Health, HIE, and CDS. Depauw and IU alumnus.","Indianapolis, Indiana",827,188,4.084347394583539
204,Brian+F.+Hutton,@BH_epistat,Brian Hutton,"Epidemiologist, biostatistician, professor, husband and father of three (puppies count too). Ottawa, Canada. Views are my own. https://t.co/PKiqjFyfsL","Ottawa, Ontario",275,794,1.44574847379622
205,Brian+F+Hutton,@BH_epistat,Brian Hutton,"Epidemiologist, biostatistician, professor, husband and father of three (puppies count too). Ottawa, Canada. Views are my own. https://t.co/PKiqjFyfsL","Ottawa, Ontario",275,794,2.0745329478815338
206,Brian+G.+Drew,@briandrew101,Brian G. Drew 💬🇦🇺,Lab Head and Lead of Obesity & Lipid Biology Program @ Baker Heart & Diabetes Institute. A/Prof @ Uni of Melbourne. Heart Foundation Future Leader Fellow,"Melbourne, Victoria",273,133,1.4009708255548383
207,Brian+H.+Cuthbertson,@BrianCuthberts8,Brian Cuthbertson,"Husband, father, uncle, friend, doctor, intensivist , scientist, trialist. He/ him","Toronto, Ontario",585,116,4.651332645486824
208,Brian+H.+Davison,@revcounter19000,Brian Davison,"Baptist Minister at Haggate, Burnley. Former Research Scientist.  Motor Racing fan (former participant) & IAM Advanced Driver. (Keep the speed for the track).","Leeds, England",61,201,0.26063387621860085
209,Brian+H.+Raphael,@bhr1us,Brian Raphael,Microbiologist interested in subtying and characterizing bacterial pathogens using next generation sequencing. Any views expressed are my own.,"Loganville, Georgia",132,225,0.9518210033744862
210,Brian+H.+Smith,@briansmithphoto,Brian Smith,"Pulitzer Prize-Winning Photographer, Author, Celebrity Portrait Photographer, Sony Artisan, Profoto Legend of Light, X-Rite Coloratti Master",Miami Beach | Hollywood Hills,10686,414,58.47492459848597
211,Brian+H+Cuthbertson,@BrianCuthberts8,Brian Cuthbertson,"Husband, father, uncle, friend, doctor, intensivist , scientist, trialist. He/ him","Toronto, Ontario",585,116,1.595513744596223
212,Brian+H+Davison,@revcounter19000,Brian Davison,"Baptist Minister at Haggate, Burnley. Former Research Scientist.  Motor Racing fan (former participant) & IAM Advanced Driver. (Keep the speed for the track).","Leeds, England",61,201,0.22176710723675278
213,Brian+J.+Anderson,@energy_bja,Brian J. Anderson,Director of the National Energy Technology Laboratory @NETL_DOE,,43,62,0.22066573442805146
214,Brian+J.+Cole,@BrianColeMD,Brian Cole,"Dr. Brian Cole-@MOR_Docs Professor in Sports Medicine Team Physician of Chicago Bulls, White Sox Co-Host of @smwhome https://t.co/m61W6HNWL5","Chicago, IL",9384,4041,30.835493995055955
215,Brian+J.+Davis,@WDTN_Brian,Brian Davis,Chief Meteorologist for WDTN Dayton OH.  Tweets are my own.  Retweets are not endorsements.,,3495,203,16.4180480745817
216,Brian+J.+Ferguson,@viropractor,Brian Ferguson,immunologist masquerading as a virologist in a pathology department. Cambridge BSI representative @BSICambridge,"Cambridge, UK",2993,3491,13.651228644055532
217,Brian+J.+Haas,@brianhaas,Brian Haas,Former newspaper crime and courts reporter | Professional writer | Tireless storyteller | screenwriting,"Los Angeles, CA",2017,2106,2.802405261106223
218,Brian+J.+Hall,@brianhallphd,Brian Hall,"Professor of Global Public Health, New York University (Shanghai) & NYU School of Global Public Heath #migranthealth #globalmentalhealth #populationhealth",People's Republic of China,936,2125,3.6253444234314576
219,Brian+J.+Kirby,@ProfBrianKirby,Professor Brian J. Kirby,Professor | mechanical #engineering | #microfluidics | #biomedical devices | #cancer | #complexfluids | research funding mostly @NSF and @NIH he/him/his,"Ithaca, NY",218,93,1.2015286812926322
220,Brian+J.+Laidlaw,@LaidlawLab,Brian Laidlaw,Immunologist at Washington University in St. Louis | Assistant Professor,,252,79,1.1447966874662876
